Comment,Designator,Footprint,LCSC Part #
12pF,C1 C2 C17 C18,C0402,C1547 
100pF,C11,C0402,C77177
1.0uF,C14 C15 C30 C31 C32,C0402,C77009
47nF,C16 C34,C0402,C117757 
2.2uF,C19,C0402,C72203 
22uF,C25 C38 C40,C0603,C15500
47uF,C26,C1210,C77101
4.7uF,C28,C0805,C77077 
4.7pF,C29,C0402,C85856 
0.8pF,C3,C0402,C40459 
10uF,C33,C0805,C84416
10uF,C36 C39,C0402,C76991
0.5pF,C4,C0402,C1544 
30pF,C41 C43 C44,C0402,C161152 
100nF,C5 C7 C8 C12 C23 C24 C27 C35 C37,C0402,C77008 
4.7uF,C6 C20 C21,C0402,C76995 
820pF,C9,C0402,"C237511
"
NRF52840-QIAA-R,IC1,AQFN73_7X7_NOR,C3606889 
FUSB302MPXMLP14_2P5X2P5_ONS-M,IC2,MLP14_2P5X2P5_ONS-M,C442699
MX35LF1GE4AB-Z4I8-WSON_EP-3P4X4P3_MAC-M,IC3,8-WSON_EP-3P4X4P3_MAC-M,C2802770
TPS62175DQCR,IC4,SON50P300X200X80-11N240X84,C32097 
DRV8316,IC5,RGF0040E-MFG,C5218861 
ICM-20948,IC6,QFN40P300X300X105-24N,C726001 
LT8640SEV#PBF,IC7,CONV_LT8640SEV#PBF,C514429 
TPS62171DSGR,IC8 ,DSG0008A,C2071102 
TPS62173DSGR,IC9,DSG0008A,C59873 
USB4110-GF-A,J1,USB4110-GF-A_GCT,C530612 
527450897,J6,CONN_527450897_MOL,C277391
yes,J7,yes,C474926 
4.7nH,L1,L0402,C162543
10uH,L2,L0603,C194437 
15nH,L3,L0402,C76763 
2.2uH,L4 L8,L0603,C98342
4.7uH,L6,IND_TA-3R3M,C2847541 
10uH,L7,INDC2012X125N,C90312
41k2,R1,R0402,C8329 
1k,R10 R12 R13,R0402,C11702
1Meg,R2,R0402,C26087
88k7,R3,R0402,C4147
5k1,R4,R0402,C25905
100k,R5 R8 R9,R0402,C25530
150k,R6,R0402,C25755
787k,R7,R0402,C27018
Q22FA1280009200,Y1,CRYSTAL4_Q22FA1280009200_EPS,C252277
SC20S-7PF20PPM,Y2,XTAL_SC-20S_EPS,"C97602
"
